testingType, system, assimilationMethod, observationInterval, stateError, timeError, RMSE, 
True,L63+time,EAKF,0.5,0.05,0.019,1.7249021668132243,
True,L63+time,EAKF,0.5,0.05,0.019,1.96189842715359,
True,L63+time,EAKF,0.5,0.05,0.019,1.769163824840045,
True,L63+time,EAKF,0.5,0.05,0.02,1.9014028765994435,
True,L63+time,EAKF,0.5,0.05,0.02,2.050781506618468,
True,L63+time,EAKF,0.5,0.05,0.02,2.147660476743054,
True,L63+time,EAKF,0.5,0.05,0.021,1.9821318330407953,
True,L63+time,EAKF,0.5,0.05,0.021,2.37698884284373,
True,L63+time,EAKF,0.5,0.05,0.021,2.467066433074569,
True,L63+time,EAKF,0.5,0.05,0.022,1.915768265370709,
True,L63+time,EAKF,0.5,0.05,0.022,1.8474601222625786,
True,L63+time,EAKF,0.5,0.05,0.022,2.0031260953464343,
True,L63+time,EAKF,0.5,0.05,0.023,1.980843963804356,
True,L63+time,EAKF,0.5,0.05,0.023,2.015322178405212,
True,L63+time,EAKF,0.5,0.05,0.023,2.282344241216274,
True,L63+time,EAKF,0.5,0.05,0.024,1.9652446471267986,
True,L63+time,EAKF,0.5,0.05,0.024,2.3777118654742475,
True,L63+time,EAKF,0.5,0.05,0.024,3.0773349779218115,
True,L63+time,EAKF,0.5,0.05,0.025,2.219420693187481,
True,L63+time,EAKF,0.5,0.05,0.025,2.383619123445878,
True,L63+time,EAKF,0.5,0.05,0.025,2.233443882610202,
True,L63+time,EAKF,0.5,0.05,0.026000000000000002,2.5099578895673256,
True,L63+time,EAKF,0.5,0.05,0.026000000000000002,2.3650455333276255,
True,L63+time,EAKF,0.5,0.05,0.026000000000000002,2.2787806854008075,
True,L63+time,EAKF,0.5,0.05,0.027,2.4146344096784103,
True,L63+time,EAKF,0.5,0.05,0.027,2.3370871276843364,
True,L63+time,EAKF,0.5,0.05,0.027,2.7238653089963054,
True,L63+time,EAKF,0.5,0.05,0.028,2.1078103512186552,
True,L63+time,EAKF,0.5,0.05,0.028,2.418719187157592,
True,L63+time,EAKF,0.5,0.05,0.028,2.3242675037673766,
True,L63+time,EAKF,0.5,0.05,0.029,2.611724317055302,
True,L63+time,EAKF,0.5,0.05,0.029,2.6141843964917775,
True,L63+time,EAKF,0.5,0.05,0.029,3.2012696805221355,
True,L63+time,EAKF,0.5,0.05,0.03,2.9693517851117526,
True,L63+time,EAKF,0.5,0.05,0.03,2.6555925947196357,
True,L63+time,EAKF,0.5,0.05,0.03,2.7897359290711234,
True,L63+time,EAKF,0.5,0.05,0.031,2.8750058362347004,
True,L63+time,EAKF,0.5,0.05,0.031,3.3664283371413126,
True,L63+time,EAKF,0.5,0.05,0.031,2.4668170013331165,
True,L63+time,EAKF,0.5,0.05,0.032,3.154155925603107,
True,L63+time,EAKF,0.5,0.05,0.032,2.845885270134335,
True,L63+time,EAKF,0.5,0.05,0.032,3.1002898257280487,
True,L63+time,EAKF,0.5,0.05,0.033,2.920163169758304,
True,L63+time,EAKF,0.5,0.05,0.033,3.5117271124743685,
True,L63+time,EAKF,0.5,0.05,0.033,2.9243308886307786,
True,L63+time,EAKF,0.5,0.05,0.034,3.100095166849335,
True,L63+time,EAKF,0.5,0.05,0.034,3.4411216099446658,
True,L63+time,EAKF,0.5,0.05,0.034,3.2565702904851497,
True,L63+time,EAKF,0.5,0.05,0.035,3.3403664664386494,
True,L63+time,EAKF,0.5,0.05,0.035,3.1657265906239362,
