testingType, system, assimilationMethod, observationInterval, stateError, timeError, RMSE, 
True,L63+time,RHF,0.5,0.05,0.011,1.1371236886569311,
True,L63+time,RHF,0.5,0.05,0.011,1.1261288158778358,
True,L63+time,RHF,0.5,0.05,0.011,1.2158934603385019,
True,L63+time,RHF,0.5,0.05,0.012,1.149342823425632,
True,L63+time,RHF,0.5,0.05,0.012,1.141683974735018,
True,L63+time,RHF,0.5,0.05,0.012,1.169589618171807,
True,L63+time,RHF,0.5,0.05,0.013000000000000001,1.1321970311884912,
True,L63+time,RHF,0.5,0.05,0.013000000000000001,1.1470887749665455,
True,L63+time,RHF,0.5,0.05,0.013000000000000001,1.3080457755491477,
True,L63+time,RHF,0.5,0.05,0.014,1.2762312487891951,
True,L63+time,RHF,0.5,0.05,0.014,1.29594709485571,
True,L63+time,RHF,0.5,0.05,0.014,1.2380008804854241,
True,L63+time,RHF,0.5,0.05,0.015,1.590329141533133,
True,L63+time,RHF,0.5,0.05,0.015,1.3955514354420488,
True,L63+time,RHF,0.5,0.05,0.015,1.5048736551845123,
True,L63+time,RHF,0.5,0.05,0.016,1.5781933147417098,
True,L63+time,RHF,0.5,0.05,0.016,1.5538944708182045,
True,L63+time,RHF,0.5,0.05,0.016,1.5988347146725927,
True,L63+time,RHF,0.5,0.05,0.017,1.5650051676211751,
True,L63+time,RHF,0.5,0.05,0.017,1.5230493832686123,
True,L63+time,RHF,0.5,0.05,0.017,1.5318304244879042,
True,L63+time,RHF,0.5,0.05,0.018000000000000002,1.627930218696408,
True,L63+time,RHF,0.5,0.05,0.018000000000000002,1.780579152471869,
True,L63+time,RHF,0.5,0.05,0.018000000000000002,1.6290026085847544,
True,L63+time,RHF,0.5,0.05,0.019,1.866549065309465,
True,L63+time,RHF,0.5,0.05,0.019,1.7290917457299355,
True,L63+time,RHF,0.5,0.05,0.019,1.899061269431916,
True,L63+time,RHF,0.5,0.05,0.02,2.008721236132442,
True,L63+time,RHF,0.5,0.05,0.02,2.0609141217923868,
True,L63+time,RHF,0.5,0.05,0.02,1.8567706302360192,
True,L63+time,RHF,0.5,0.05,0.021,2.0960608133857446,
True,L63+time,RHF,0.5,0.05,0.021,2.066124541107122,
True,L63+time,RHF,0.5,0.05,0.021,2.0270751651117407,
True,L63+time,RHF,0.5,0.05,0.022,2.2455983797419576,
True,L63+time,RHF,0.5,0.05,0.022,1.9785527390064193,
True,L63+time,RHF,0.5,0.05,0.022,2.0336773451585346,
True,L63+time,RHF,0.5,0.05,0.023,2.5106202817245196,
True,L63+time,RHF,0.5,0.05,0.023,2.0670584784784825,
True,L63+time,RHF,0.5,0.05,0.023,2.339735666476144,
True,L63+time,RHF,0.5,0.05,0.024,2.441258493488273,
True,L63+time,RHF,0.5,0.05,0.024,2.179002400378971,
True,L63+time,RHF,0.5,0.05,0.024,2.2061431766328328,
True,L63+time,RHF,0.5,0.05,0.025,2.2402251240155704,
True,L63+time,RHF,0.5,0.05,0.025,2.273028666547034,
True,L63+time,RHF,0.5,0.05,0.025,2.566627762153986,
True,L63+time,RHF,0.5,0.05,0.026000000000000002,2.6698843414645945,
True,L63+time,RHF,0.5,0.05,0.026000000000000002,2.5915325285448017,
True,L63+time,RHF,0.5,0.05,0.026000000000000002,2.3454696157770742,
True,L63+time,RHF,0.5,0.05,0.027,2.3868170139744818,
True,L63+time,RHF,0.5,0.05,0.027,2.6015950501512317,
True,L63+time,RHF,0.5,0.05,0.027,2.5736727035396165,
True,L63+time,RHF,0.5,0.05,0.028,2.608206882100132,
True,L63+time,RHF,0.5,0.05,0.028,2.6371104984020595,
True,L63+time,RHF,0.5,0.05,0.028,2.7619173217284936,
True,L63+time,RHF,0.5,0.05,0.029,2.8182556047714504,
True,L63+time,RHF,0.5,0.05,0.029,2.9271640729814883,
True,L63+time,RHF,0.5,0.05,0.029,2.8678889631298303,
True,L63+time,RHF,0.5,0.05,0.03,2.9685489110415006,
True,L63+time,RHF,0.5,0.05,0.03,2.8852790556345638,
True,L63+time,RHF,0.5,0.05,0.03,3.0313660570063843,
True,L63+time,RHF,0.5,0.05,0.031,3.161031771318028,
True,L63+time,RHF,0.5,0.05,0.031,2.864319932622042,
True,L63+time,RHF,0.5,0.05,0.031,3.0233432698799336,
True,L63+time,RHF,0.5,0.05,0.032,3.1280601672721446,
True,L63+time,RHF,0.5,0.05,0.032,2.9513500989220316,
True,L63+time,RHF,0.5,0.05,0.032,2.9508875502520135,
True,L63+time,RHF,0.5,0.05,0.033,3.3167093064462527,
True,L63+time,RHF,0.5,0.05,0.033,3.158192140901518,
True,L63+time,RHF,0.5,0.05,0.033,3.2492145700785104,
True,L63+time,RHF,0.5,0.05,0.034,3.2470655662103836,
True,L63+time,RHF,0.5,0.05,0.034,3.295060395177626,
True,L63+time,RHF,0.5,0.05,0.034,3.3121190575466244,
True,L63+time,RHF,0.5,0.05,0.035,3.606082943470458,
True,L63+time,RHF,0.5,0.05,0.035,3.36217870639627,
True,L63+time,RHF,0.5,0.05,0.035,3.4038573897482185,
True,L63+time,RHF,0.5,0.05,0.036000000000000004,3.394086720994284,
