testingType, system, assimilationMethod, observationInterval, stateError, timeError, RMSE, 
True,L63+time,EAKF,0.5,0.05,0.043000000000000003,4.434234020411072,
True,L63+time,EAKF,0.5,0.05,0.043000000000000003,4.059399398647559,
True,L63+time,EAKF,0.5,0.05,0.044,4.388200388177566,
True,L63+time,EAKF,0.5,0.05,0.044,4.1827497324196825,
True,L63+time,EAKF,0.5,0.05,0.044,4.418606101663139,
True,L63+time,EAKF,0.5,0.05,0.045,4.304811447950674,
True,L63+time,EAKF,0.5,0.05,0.045,4.29738387575312,
True,L63+time,EAKF,0.5,0.05,0.045,4.755100295488686,
True,L63+time,EAKF,0.5,0.05,0.046,4.362389593477618,
True,L63+time,EAKF,0.5,0.05,0.046,4.423918445468153,
True,L63+time,EAKF,0.5,0.05,0.046,4.166118309088193,
True,L63+time,EAKF,0.5,0.05,0.047,4.822060397471563,
True,L63+time,EAKF,0.5,0.05,0.047,4.823270843335878,
True,L63+time,EAKF,0.5,0.05,0.047,4.736835212926433,
True,L63+time,EAKF,0.5,0.05,0.048,4.673550682244007,
True,L63+time,EAKF,0.5,0.05,0.048,4.354704942403317,
True,L63+time,EAKF,0.5,0.05,0.048,4.879262779229719,
True,L63+time,EAKF,0.5,0.05,0.049,5.02183959702924,
True,L63+time,EAKF,0.5,0.05,0.049,4.42746677910432,
True,L63+time,EAKF,0.5,0.05,0.049,4.7394286717770315,
True,L63+time,EAKF,0.5,0.1,0.0,0.7208367635165233,
True,L63+time,EAKF,0.5,0.1,0.0,0.9144013167063401,
True,L63+time,EAKF,0.5,0.1,0.0,0.8963620016715189,
True,L63+time,EAKF,0.5,0.1,0.001,0.7878734794263504,
True,L63+time,EAKF,0.5,0.1,0.001,0.7578981347698471,
True,L63+time,EAKF,0.5,0.1,0.001,0.9972740802319556,
True,L63+time,EAKF,0.5,0.1,0.002,0.7512526696993085,
True,L63+time,EAKF,0.5,0.1,0.002,0.7686786755331929,
True,L63+time,EAKF,0.5,0.1,0.002,0.6090033623859079,
True,L63+time,EAKF,0.5,0.1,0.003,0.6888939922494334,
True,L63+time,EAKF,0.5,0.1,0.003,0.6953641092440389,
True,L63+time,EAKF,0.5,0.1,0.003,0.6253113966079691,
True,L63+time,EAKF,0.5,0.1,0.004,0.8173247891595096,
True,L63+time,EAKF,0.5,0.1,0.004,0.7955637595961945,
True,L63+time,EAKF,0.5,0.1,0.004,0.6460175853435577,
True,L63+time,EAKF,0.5,0.1,0.005,0.7955912905439266,
True,L63+time,EAKF,0.5,0.1,0.005,0.6860289147595037,
True,L63+time,EAKF,0.5,0.1,0.005,0.7518938199745334,
True,L63+time,EAKF,0.5,0.1,0.006,0.8313744719387509,
True,L63+time,EAKF,0.5,0.1,0.006,0.8363683463155994,
True,L63+time,EAKF,0.5,0.1,0.006,0.8746738336331865,
True,L63+time,EAKF,0.5,0.1,0.007,0.9259288542481692,
True,L63+time,EAKF,0.5,0.1,0.007,1.0304722765594925,
True,L63+time,EAKF,0.5,0.1,0.007,0.8524522148716839,
True,L63+time,EAKF,0.5,0.1,0.008,1.004374169265382,
True,L63+time,EAKF,0.5,0.1,0.008,0.9799681995927729,
True,L63+time,EAKF,0.5,0.1,0.008,0.9360581349717331,
True,L63+time,EAKF,0.5,0.1,0.009000000000000001,1.1115072979447302,
True,L63+time,EAKF,0.5,0.1,0.009000000000000001,1.086207592053564,
